Wavenumber,0 min,3 min,9 min,20 min,45 min
1736,0.060,0.061,0.063,0.066,0.070
1720,0.065,0.067,0.070,0.075,0.082
1704,0.072,0.075,0.081,0.092,0.105
1688,0.090,0.095,0.105,0.125,0.155
1672,0.130,0.145,0.170,0.210,0.265
1656,0.210,0.235,0.270,0.315,0.360
1640,0.320,0.350,0.400,0.445,0.470
1624,0.360,0.385,0.410,0.420,0.405
1608,0.300,0.310,0.305,0.280,0.245
1592,0.220,0.215,0.195,0.170,0.140
1576,0.160,0.150,0.130,0.110,0.090
1560,0.120,0.112,0.098,0.088,0.078
1544,0.095,0.090,0.083,0.079,0.075
1528,0.080,0.079,0.077,0.076,0.075
1512,0.072,0.073,0.074,0.075,0.076
1509,0.070,0.071,0.072,0.073,0.074
